"kind","category","id","label","type","options","notes"
"response_option","","like","むしろ好き","","","PL response option"
"response_option","","ok","問題ない","","","PL response option"
"response_option","","light","描写薄めなら可","","","PL response option"
"response_option","","dislike","好ましくない","","","PL response option"
"response_option","","avoid","確実に避けたい","","","PL response option"
"public_info","public_info","play_time","想定プレイ時間（時間）","number","","min=0; step=0.5"
"public_info","public_info","session_format","ボイセ / テキセ / 半テキセ","checks","voice:ボイセ | text:テキセ | half_text:半テキセ",""
"public_info","public_info","secret_ho","秘匿HOの有無","select","none:なし | yes:あり | partial:一部あり | unknown:未定・要確認",""
"public_info","public_info","pvp_possibility","PvP可能性の有無","select","none:なし | possible:可能性あり | likely:発生しやすい | unknown:未定・要確認",""
"public_info","public_info","pc_loss","PCロスト可能性","select","none:低い・なし | possible:可能性あり | high:高め | unknown:未定・要確認",""
"public_info","public_info","continuing_pc","継続PC可否","select","allowed:可 | consult:要相談 | not_allowed:不可",""
"public_info","public_info","new_pc_only","継続不可・新規限定","select","no:新規限定ではない | yes:新規限定 | unknown:未定・要確認",""
"public_info","public_info","difficulty","難易度目安","select","low:低め | normal:標準 | high:高め | very_high:高難度 | unknown:未定・要確認",""
"public_info","public_info","rating","R指定・R18・R18G目安","select","none:指定なし | r:R指定相当 | r18:R18相当 | r18g:R18G相当 | unknown:未定・要確認",""
"public_info","public_info","scenario_tone","シナリオ傾向","checks","horror:ホラー | mystery:ミステリ | emotional:エモーショナル | battle:戦闘 | exploration:探索 | rp_focused:RP重視",""
"public_info","public_info","scenario_structure","シナリオ構造","checks","free_exploration:自由探索 | linear:一本道寄り | secret_focused:秘匿重視 | high_info:高情報量",""
"hidden_tag","性・恋愛・同意","ROMANCE_RP","恋愛・関係性RP","","","hidden from result detail"
"hidden_tag","性・恋愛・同意","SEXUAL_CONTENT","性的示唆・性的描写","","","hidden from result detail"
"hidden_tag","性・恋愛・同意","EXPLICIT_SEXUAL_CONTENT","明示的な性的描写","","","hidden from result detail"
"hidden_tag","性・恋愛・同意","SEXUAL_VIOLENCE","性暴力・性的加害","","","hidden from result detail"
"hidden_tag","性・恋愛・同意","NTR_RIVAL_RELATIONSHIP","当て馬、NTR展開","","","hidden from result detail"
"hidden_tag","性・恋愛・同意","FORCED_RELATIONSHIP","恋愛・婚姻・番い等の強制","","","hidden from result detail"
"hidden_tag","性・恋愛・同意","PREGNANCY_REPRODUCTIVE","妊娠・出産・流産・中絶","","","hidden from result detail"
"hidden_tag","性・恋愛・同意","SPECIAL_ABNORMAL_FETISH","特殊性癖/異常性癖","","","hidden from result detail"
"hidden_tag","暴力・身体損壊・医療","GRAPHIC_VIOLENCE","強い暴力・残虐描写","","","hidden from result detail"
"hidden_tag","暴力・身体損壊・医療","BLOOD_GORE","流血・ゴア","","","hidden from result detail"
"hidden_tag","暴力・身体損壊・医療","BODY_MUTILATION","欠損・身体損壊","","","hidden from result detail"
"hidden_tag","暴力・身体損壊・医療","ORGANS_MEDICAL","内臓・手術・医療処置","","","hidden from result detail"
"hidden_tag","暴力・身体損壊・医療","SELF_PERPETRATED_VIOLENCE","自分が暴力を振るう","","","hidden from result detail"
"hidden_tag","暴力・身体損壊・医療","HUMAN_EXPERIMENT","人体実験","","","hidden from result detail"
"hidden_tag","暴力・身体損壊・医療","CANNIBALISM","カニバリズム","","","hidden from result detail"
"hidden_tag","暴力・身体損壊・医療","BODY_HORROR","身体変化・融合・異形化","","","hidden from result detail"
"hidden_tag","死・自傷・喪失","DEATH_GENERAL","死の描写","","","hidden from result detail"
"hidden_tag","死・自傷・喪失","SUICIDE_SELFHARM","自殺・自傷","","","hidden from result detail"
"hidden_tag","死・自傷・喪失","LOVED_ONE_DEATH","家族・恋人・親しい人物の死","","","hidden from result detail"
"hidden_tag","死・自傷・喪失","CHILD_HARM_DEATH","子どもへの危害・死","","","hidden from result detail"
"hidden_tag","死・自傷・喪失","ANIMAL_HARM_DEATH","動物への危害・死","","","hidden from result detail"
"hidden_tag","死・自傷・喪失","MASS_DEATH","大量死・災害死","","","hidden from result detail"
